ROUNDEL,LINE,TRANSCRIPTION,TRANSLATION,HAND
CRN288,#1,XXXI,XXXI,Roman Numerals Scribe
CRN289,#2-3,Eswet Ostha ,Eswand Ostha ,Lancastrian Scribe
CRN289,#1,XXIIII,XXIIII,Roman Numerals Scribe
CRN290,#1,Otra,Otra,Lancastrian Scribe
CRN291,#2,Edelbrith ,Æthelbert ,Lancastrian Scribe
CRN291,#1,LVI,LVI,Roman Numerals Scribe
CRN292,#2,Edelbaldus,Æthelbald,Lancastrian Scribe
CRN292,#1,XXIIII,XXIIII,Roman Numerals Scribe
CRN293,#2,Artenbruthus,Artenbruth,Lancastrian Scribe
CRN293,#1,XXVI,XXVI,Roman Numerals Scribe
CRN294,#1,Egbrichtus,Egbricht,Lancastrian Scribe
CRN295,#1,Ermericus,Ermeric,Lancastrian Scribe
CRN296,#1-2,Lotharius bonus,Lotharius the Good,Lancastrian Scribe
CRN297,#1,Eadric,Eadric,Lancastrian Scribe
CRN298,#1,Erthenbert,Erthenbert,Lancastrian Scribe
CRN299,#1-2,Widredus et Wibert ,Widred and Wibert ,Lancastrian Scribe
CRN300,#2,Switrec,Switrec,Lancastrian Scribe
CRN300,#1,XXXIII,XXXIII,Roman Numerals Scribe
CRN301,#2,Eadbrit,Eadbrit,Lancastrian Scribe
CRN301,#1,XXII,XXII,Roman Numerals Scribe
CRN301,#1,÷ ÷,½,Yorkist Scribe
CRN302,#2,Adelbrith,Æthelbrith,Lancastrian Scribe
CRN302,#1,XII,XII,Roman Numerals Scribe
CRN303,#2,Egfred ,Egfred ,Lancastrian Scribe
CRN303,#1,XXXIIII,XXXIIII,Roman Numerals Scribe
CRN304,#1,Eadbrichpren,Eadbrith Pren,Lancastrian Scribe
CRN305,#1,Cudred,Cudred,Lancastrian Scribe
CRN307,#1-2,Uffa et Ulfa,Uffa and Ulfa,Lancastrian Scribe
CRN308,#1,Titulus,Titulus,Lancastrian Scribe
CRN309,#1-2,Redwaldus,Rædwald,Lancastrian Scribe
CRN310,#1-4,Eadwall qui conversus per felicem episcopum,Eadwall who was converted through the happy bishop,Lancastrian Scribe
CRN311,#1-2,Warpwalde,Warpwalde,Lancastrian Scribe
CRN312,#1-3,Sigebertus frater monachus sanctus est,Sigebert's brother is a blessed monk,Lancastrian Scribe
CRN313,#1,Egritus,Ecgric,Lancastrian Scribe
CRN314,#1-2,Anna fratus eni,Anna his brother,Lancastrian Scribe
CRN315,#1,Adelher,Æthelhere,Lancastrian Scribe
CRN316,#1,Adelbold,Æthelbold,Lancastrian Scribe
CRN317,#1,Ardulfus,Ardulf,Lancastrian Scribe
CRN319,#2 ,Ida ,Ida ,Lancastrian Scribe
CRN319,#1,XII,XII,Roman Numerals Scribe
CRN320,#2-3,Ella filius Uffe ,Ælla son of Uffe ,Lancastrian Scribe
CRN320,#1,XXX,XXX,Roman Numerals Scribe
CRN321,#1,Alderic,Æthelric,Lancastrian Scribe
CRN322,#1,Edelfrid ,Æhelfrith ,Lancastrian Scribe
CRN323,#1,Edwinus,Edwin,Lancastrian Scribe
CRN324,#1,Oswaldus ,Oswald ,Lancastrian Scribe
CRN325,#2, Oswy frater ,Oswy his brother ,Lancastrian Scribe
CRN325,#1,XX,XX,Roman Numerals Scribe
CRN326,#2,Egfred ,Egfred ,Lancastrian Scribe
CRN326,#1,XV,XV,Roman Numerals Scribe
CRN327,#2,Alfridus frater ,Alfred his brother ,Lancastrian Scribe
CRN327,#1,XX,XX,Roman Numerals Scribe
CRN328,#2,Offredus ,Offred ,Lancastrian Scribe
CRN328,#1,XI,XI,Roman Numerals Scribe
CRN329,#1,Kenred ,Kenred ,Lancastrian Scribe
CRN330,#2,Osrich ,Osric ,Lancastrian Scribe
CRN330,#1,XI,XI,Roman Numerals Scribe
CRN331,#1-4,Ceolwulf frater  annis et postea monachus,Ceolwulf his brother [reigned]  years and was later a monk,Lancastrian Scribe
CRN332,#1-4,Eadbertus  annis et postea monachus,Eadbert [reigned]  years and was later a monk,Lancastrian Scribe
CRN333,#1,Oswolf,Oswulf,Lancastrian Scribe
CRN334,#1-2,MaEdelwold ,Æthelwald Mol,Lancastrian Scribe
CRN335,#1,Alredus ,Alred ,Lancastrian Scribe
CRN336,#1-2,Edelred frater ma,Æthelred brother of Mol,Lancastrian Scribe
CRN337,#2,Alfwold ,Ælfwald ,Lancastrian Scribe
CRN337,#1,X,X,Roman Numerals Scribe
CRN338,#1,Efred ,Æfred ,Lancastrian Scribe
CRN339,#1-2,Ardulf ,Ardulf ,Lancastrian Scribe
CRN306,#2,Elred,Elred,Lancastrian Scribe
CRN306,#1,XVIII,XVIII,Roman Numerals Scribe
CRN306,#3,18,18,Roman Numerals Scribe
CRN340,#2,Elred,XVÆlred,Lancastrian Scribe
CRN340,#1,XVIII,XVIII,Roman Numerals Scribe
CRN340,#1,XVIII,XVIII,Roman Numerals Scribe
CRN341,#1-2,Erthewyne,Erthewyne,Lancastrian Scribe
CRN342,#1,Sled,Sled,Lancastrian Scribe
CRN343,#1,Sibert,Sibert,Lancastrian Scribe
CRN344,#1,Sigebertus,Sigebert,Lancastrian Scribe
CRN345,#1,Sibertus,Sibert,Lancastrian Scribe
CRN346,#1,Wythelinus,Wythelin,Lancastrian Scribe
CRN347,#1-3,Selby quem occidit penda,Selby who was killed by Penda,Lancastrian Scribe
CRN348,#1,Sigardus,Sigard,Lancastrian Scribe
CRN349,#1,Sigbertus,Sigbert,Lancastrian Scribe
CRN350,#1,Sibertus,Sibert,Lancastrian Scribe
CRN351,#1-2,Switelinus,Switelin,Lancastrian Scribe
CRN352,#1,Sigher,Sigher,Lancastrian Scribe
